id,name,category,source_page_url,final_url,http_status,content_type,bytes,title,title_contains_name,body_contains_name,body_references_image_basename,source_revision_id,fetched_at_utc,attempts,error
currency_wars_equipment_073,碎星斩舰刀,advanced,https://wiki.biligame.com/sr/%E7%A2%8E%E6%98%9F%E6%96%A9%E8%88%B0%E5%88%80,,,,,,False,False,False,99085,2026-08-09T00:06:16.210629+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_074,绝对热量,advanced,https://wiki.biligame.com/sr/%E7%BB%9D%E5%AF%B9%E7%83%AD%E9%87%8F,,,,,,False,False,False,99085,2026-08-09T00:06:16.407244+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_075,胜利之旗,advanced,https://wiki.biligame.com/sr/%E8%83%9C%E5%88%A9%E4%B9%8B%E6%97%97,,,,,,False,False,False,99085,2026-08-09T00:06:16.767835+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_076,自适应外骨骼,advanced,https://wiki.biligame.com/sr/%E8%87%AA%E9%80%82%E5%BA%94%E5%A4%96%E9%AA%A8%E9%AA%BC,,,,,,False,False,False,99085,2026-08-09T00:06:18.673513+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_077,蓄能帆,advanced,https://wiki.biligame.com/sr/%E8%93%84%E8%83%BD%E5%B8%86,,,,,,False,False,False,99085,2026-08-09T00:06:18.987357+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_078,虫洞掘进钻头,advanced,https://wiki.biligame.com/sr/%E8%99%AB%E6%B4%9E%E6%8E%98%E8%BF%9B%E9%92%BB%E5%A4%B4,https://wiki.biligame.com/sr/%E8%99%AB%E6%B4%9E%E6%8E%98%E8%BF%9B%E9%92%BB%E5%A4%B4,200,text/html,987,,False,False,False,99085,2026-08-09T00:06:17.692417+00:00,3,
currency_wars_equipment_079,行星钻地弹,advanced,https://wiki.biligame.com/sr/%E8%A1%8C%E6%98%9F%E9%92%BB%E5%9C%B0%E5%BC%B9,,,,,,False,False,False,99085,2026-08-09T00:06:19.177233+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_080,追逐星辰,advanced,https://wiki.biligame.com/sr/%E8%BF%BD%E9%80%90%E6%98%9F%E8%BE%B0,https://wiki.biligame.com/sr/%E8%BF%BD%E9%80%90%E6%98%9F%E8%BE%B0,200,text/html,986,,False,False,False,99085,2026-08-09T00:06:17.734700+00:00,3,
currency_wars_equipment_081,闪光手榴弹,advanced,https://wiki.biligame.com/sr/%E9%97%AA%E5%85%89%E6%89%8B%E6%A6%B4%E5%BC%B9,https://wiki.biligame.com/sr/%E9%97%AA%E5%85%89%E6%89%8B%E6%A6%B4%E5%BC%B9,200,text/html,985,,False,False,False,99085,2026-08-09T00:06:17.781082+00:00,3,
currency_wars_equipment_082,随便骰子,advanced,https://wiki.biligame.com/sr/%E9%9A%8F%E4%BE%BF%E9%AA%B0%E5%AD%90,https://wiki.biligame.com/sr/%E9%9A%8F%E4%BE%BF%E9%AA%B0%E5%AD%90,200,text/html,988,,False,False,False,99085,2026-08-09T00:06:17.979054+00:00,3,
currency_wars_equipment_083,高周波电锯,advanced,https://wiki.biligame.com/sr/%E9%AB%98%E5%91%A8%E6%B3%A2%E7%94%B5%E9%94%AF,https://wiki.biligame.com/sr/%E9%AB%98%E5%91%A8%E6%B3%A2%E7%94%B5%E9%94%AF,200,text/html,983,,False,False,False,99085,2026-08-09T00:06:18.347865+00:00,3,
