id,name,category,source_page_url,source_url,local_path,declared_sha256,local_sha256,local_bytes,local_width,local_height,http_status,content_type,final_url,remote_sha256,remote_bytes,remote_width,remote_height,remote_format,declared_matches_local,remote_matches_local,dimensions_match,error,attempts
currency_wars_equipment_145,极•白昼•武器大师,bond_equipment,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E7%99%BD%E6%98%BC%E2%80%A2%E6%AD%A6%E5%99%A8%E5%A4%A7%E5%B8%88,https://patchwiki.biligame.com/images/sr/b/b1/hgt31ij3fy4x37nmhmuads1kd3ffaw1.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_145.png,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,34524,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/b/b1/hgt31ij3fy4x37nmhmuads1kd3ffaw1.png,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,34524,128,128,PNG,True,True,True,,1
currency_wars_equipment_146,白昼•光速螺旋桨,bond_equipment,https://wiki.biligame.com/sr/%E7%99%BD%E6%98%BC%E2%80%A2%E5%85%89%E9%80%9F%E8%9E%BA%E6%97%8B%E6%A1%A8,https://patchwiki.biligame.com/images/sr/6/69/tuj9v192vmobh7xslh16kbia0uurl7q.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_146.png,e6a8adcd7331b1036186a76b3190cd5746b58d89e84e5a6aa07a25860b760eb2,e6a8adcd7331b1036186a76b3190cd5746b58d89e84e5a6aa07a25860b760eb2,31526,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/6/69/tuj9v192vmobh7xslh16kbia0uurl7q.png,e6a8adcd7331b1036186a76b3190cd5746b58d89e84e5a6aa07a25860b760eb2,31526,128,128,PNG,True,True,True,,1
currency_wars_equipment_147,白昼•斩首行动,bond_equipment,https://wiki.biligame.com/sr/%E7%99%BD%E6%98%BC%E2%80%A2%E6%96%A9%E9%A6%96%E8%A1%8C%E5%8A%A8,https://patchwiki.biligame.com/images/sr/8/8d/pz3qe0xci2okxgu51qyp9zur7ejpert.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_147.png,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,31190,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/8/8d/pz3qe0xci2okxgu51qyp9zur7ejpert.png,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,31190,128,128,PNG,True,True,True,,1
currency_wars_equipment_148,白昼•武器大师,bond_equipment,https://wiki.biligame.com/sr/%E7%99%BD%E6%98%BC%E2%80%A2%E6%AD%A6%E5%99%A8%E5%A4%A7%E5%B8%88,https://patchwiki.biligame.com/images/sr/0/0d/hgt31ij3fy4x37nmhmuads1kd3ffaw1.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_148.png,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,34524,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/0/0d/hgt31ij3fy4x37nmhmuads1kd3ffaw1.png,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,34524,128,128,PNG,True,True,True,,1
currency_wars_equipment_149,冶金炉,consumable,https://wiki.biligame.com/sr/%E5%86%B6%E9%87%91%E7%82%89,https://patchwiki.biligame.com/images/sr/e/ee/tm987zq2s9k6gioxrt0xrpon793eq27.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_149.png,52909de2e822053c674356b2f226e42ec3431c9352facfabee595f226b0fb0d2,52909de2e822053c674356b2f226e42ec3431c9352facfabee595f226b0fb0d2,31684,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/e/ee/tm987zq2s9k6gioxrt0xrpon793eq27.png,52909de2e822053c674356b2f226e42ec3431c9352facfabee595f226b0fb0d2,31684,128,128,PNG,True,True,True,,1
currency_wars_equipment_150,员工投影仪,consumable,https://wiki.biligame.com/sr/%E5%91%98%E5%B7%A5%E6%8A%95%E5%BD%B1%E4%BB%AA,https://patchwiki.biligame.com/images/sr/6/6a/5h34jtucjpahjnya0s4dty34fofr8zd.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_150.png,47ab81a776419ebfbf96b932d1478c479722741510867f78d6185af939c1d524,47ab81a776419ebfbf96b932d1478c479722741510867f78d6185af939c1d524,21516,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/6/6a/5h34jtucjpahjnya0s4dty34fofr8zd.png,47ab81a776419ebfbf96b932d1478c479722741510867f78d6185af939c1d524,21516,128,128,PNG,True,True,True,,1
currency_wars_equipment_151,好运令牌,consumable,https://wiki.biligame.com/sr/%E5%A5%BD%E8%BF%90%E4%BB%A4%E7%89%8C,https://patchwiki.biligame.com/images/sr/e/eb/ec1wmho5we8rjxna2gmxcn5wy6ld1lv.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_151.png,16a3b61d5ea6814e5356616d975dc92138dd7caa538d2c7d8107615acf9666b7,16a3b61d5ea6814e5356616d975dc92138dd7caa538d2c7d8107615acf9666b7,29452,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/e/eb/ec1wmho5we8rjxna2gmxcn5wy6ld1lv.png,16a3b61d5ea6814e5356616d975dc92138dd7caa538d2c7d8107615acf9666b7,29452,128,128,PNG,True,True,True,,1
currency_wars_equipment_152,完美投影仪,consumable,https://wiki.biligame.com/sr/%E5%AE%8C%E7%BE%8E%E6%8A%95%E5%BD%B1%E4%BB%AA,https://patchwiki.biligame.com/images/sr/d/d0/ltbni6v7mh0xnhfhbbprmwwaxufelnj.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_152.png,a26c1fad95d900395c1970af71cb8e27ef8cb33e813612f8b95688e1597adcc8,a26c1fad95d900395c1970af71cb8e27ef8cb33e813612f8b95688e1597adcc8,25723,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/d/d0/ltbni6v7mh0xnhfhbbprmwwaxufelnj.png,a26c1fad95d900395c1970af71cb8e27ef8cb33e813612f8b95688e1597adcc8,25723,128,128,PNG,True,True,True,,1
currency_wars_equipment_153,拆装扳手,consumable,https://wiki.biligame.com/sr/%E6%8B%86%E8%A3%85%E6%89%B3%E6%89%8B,https://patchwiki.biligame.com/images/sr/8/8d/byr0dil4xk0vofznnae74s0uixdjray.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_153.png,9844590643c43ac6f7fafc0d4c46f0139fa14587939c1b4a1179756fb930d083,9844590643c43ac6f7fafc0d4c46f0139fa14587939c1b4a1179756fb930d083,23025,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/8/8d/byr0dil4xk0vofznnae74s0uixdjray.png,9844590643c43ac6f7fafc0d4c46f0139fa14587939c1b4a1179756fb930d083,23025,128,128,PNG,True,True,True,,1
currency_wars_equipment_154,特权赋予卡,consumable,https://wiki.biligame.com/sr/%E7%89%B9%E6%9D%83%E8%B5%8B%E4%BA%88%E5%8D%A1,https://patchwiki.biligame.com/images/sr/3/3b/jsi3f3awcru1azwl2ms2a4wov5g8jy9.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_154.png,4ef96afdd43945d75018892980415b2c408c8c6e6cb8146b47590a7024835655,4ef96afdd43945d75018892980415b2c408c8c6e6cb8146b47590a7024835655,30878,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/3/3b/jsi3f3awcru1azwl2ms2a4wov5g8jy9.png,4ef96afdd43945d75018892980415b2c408c8c6e6cb8146b47590a7024835655,30878,128,128,PNG,True,True,True,,1
