id,name,category,icon_path,declared_sha256,work_exists,work_sha256,handoff_source_exists,handoff_source_sha256,handoff_program_exists,handoff_program_sha256,all_three_match_declared,file_name_matches_id,base_equipment_id,base_reference_exists,component_ids,component_references_exist
currency_wars_equipment_074,绝对热量,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_074.png,b7715ddb5c9dea4d24897d8f80a1c790c272ce6cbfa1ab336a6078c379b610d2,True,b7715ddb5c9dea4d24897d8f80a1c790c272ce6cbfa1ab336a6078c379b610d2,True,b7715ddb5c9dea4d24897d8f80a1c790c272ce6cbfa1ab336a6078c379b610d2,True,b7715ddb5c9dea4d24897d8f80a1c790c272ce6cbfa1ab336a6078c379b610d2,True,True,,True,currency_wars_equipment_041;currency_wars_equipment_045,True
currency_wars_equipment_075,胜利之旗,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_075.png,a7992e1a9bc95462f233d13ad4619571c80b69e62ddca7f14275f4abd006ea90,True,a7992e1a9bc95462f233d13ad4619571c80b69e62ddca7f14275f4abd006ea90,True,a7992e1a9bc95462f233d13ad4619571c80b69e62ddca7f14275f4abd006ea90,True,a7992e1a9bc95462f233d13ad4619571c80b69e62ddca7f14275f4abd006ea90,True,True,,True,currency_wars_equipment_040;currency_wars_equipment_043,True
currency_wars_equipment_076,自适应外骨骼,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_076.png,4f0536a5df57dbb1fd94fa4688a2da232f7e20347f9810ad0d3633404917eaac,True,4f0536a5df57dbb1fd94fa4688a2da232f7e20347f9810ad0d3633404917eaac,True,4f0536a5df57dbb1fd94fa4688a2da232f7e20347f9810ad0d3633404917eaac,True,4f0536a5df57dbb1fd94fa4688a2da232f7e20347f9810ad0d3633404917eaac,True,True,,True,currency_wars_equipment_047;currency_wars_equipment_042,True
currency_wars_equipment_077,蓄能帆,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_077.png,33121ab041df3a0573fb638f4687c2dabd116e0ba6f4ae08d6a0839d25affe9c,True,33121ab041df3a0573fb638f4687c2dabd116e0ba6f4ae08d6a0839d25affe9c,True,33121ab041df3a0573fb638f4687c2dabd116e0ba6f4ae08d6a0839d25affe9c,True,33121ab041df3a0573fb638f4687c2dabd116e0ba6f4ae08d6a0839d25affe9c,True,True,,True,currency_wars_equipment_041;currency_wars_equipment_042,True
currency_wars_equipment_078,虫洞掘进钻头,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_078.png,5468037f10a03db79db0ff7fd5c64de648cc4a5e9459279826d25a2e9d083302,True,5468037f10a03db79db0ff7fd5c64de648cc4a5e9459279826d25a2e9d083302,True,5468037f10a03db79db0ff7fd5c64de648cc4a5e9459279826d25a2e9d083302,True,5468037f10a03db79db0ff7fd5c64de648cc4a5e9459279826d25a2e9d083302,True,True,,True,currency_wars_equipment_040;currency_wars_equipment_040,True
currency_wars_equipment_079,行星钻地弹,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_079.png,057093a212c7dc7196a410cd1fae91fec7bd4e34113ea1ffe0fd38573350dc11,True,057093a212c7dc7196a410cd1fae91fec7bd4e34113ea1ffe0fd38573350dc11,True,057093a212c7dc7196a410cd1fae91fec7bd4e34113ea1ffe0fd38573350dc11,True,057093a212c7dc7196a410cd1fae91fec7bd4e34113ea1ffe0fd38573350dc11,True,True,,True,currency_wars_equipment_041;currency_wars_equipment_040,True
currency_wars_equipment_080,追逐星辰,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_080.png,ef05ef9c99143308d34121776f49b584f899a13afff12bc3d8ae58c6acac8898,True,ef05ef9c99143308d34121776f49b584f899a13afff12bc3d8ae58c6acac8898,True,ef05ef9c99143308d34121776f49b584f899a13afff12bc3d8ae58c6acac8898,True,ef05ef9c99143308d34121776f49b584f899a13afff12bc3d8ae58c6acac8898,True,True,,True,currency_wars_equipment_043;currency_wars_equipment_046,True
currency_wars_equipment_081,闪光手榴弹,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_081.png,014ef547bca716049301e771bb5f9ff025777d31210818901237269f6872a98b,True,014ef547bca716049301e771bb5f9ff025777d31210818901237269f6872a98b,True,014ef547bca716049301e771bb5f9ff025777d31210818901237269f6872a98b,True,014ef547bca716049301e771bb5f9ff025777d31210818901237269f6872a98b,True,True,,True,currency_wars_equipment_040;currency_wars_equipment_047,True
currency_wars_equipment_082,随便骰子,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_082.png,41503631a9126cb5eff4a7386e577541e7a29c980222264e131febf96517b31b,True,41503631a9126cb5eff4a7386e577541e7a29c980222264e131febf96517b31b,True,41503631a9126cb5eff4a7386e577541e7a29c980222264e131febf96517b31b,True,41503631a9126cb5eff4a7386e577541e7a29c980222264e131febf96517b31b,True,True,,True,currency_wars_equipment_043;currency_wars_equipment_043,True
currency_wars_equipment_083,高周波电锯,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_083.png,68bb0c44f85d14e6d41ada9323292b90c02acd6ff956315e456b912f73c8bf4e,True,68bb0c44f85d14e6d41ada9323292b90c02acd6ff956315e456b912f73c8bf4e,True,68bb0c44f85d14e6d41ada9323292b90c02acd6ff956315e456b912f73c8bf4e,True,68bb0c44f85d14e6d41ada9323292b90c02acd6ff956315e456b912f73c8bf4e,True,True,,True,currency_wars_equipment_043;currency_wars_equipment_044,True
